Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
201,Blaisdell - 2,4/13/2023 18:54,4/11/2023 18:57,,,,,,,,2,TRUE
159,Blaisdell - 3,4/13/2023 17:09,No Selection Time Issued,4/13/2023 17:09,,,,,,,1,TRUE
183,Blaisdell - 4,4/13/2023 19:33,4/13/2023 17:42,4/13/2023 17:42,,,,,,,2,TRUE
183,Blaisdell - 6,4/13/2023 19:42,No Selection Time Issued,4/13/2023 19:42,,,,,,,2,TRUE
175,Blaisdell - 8,4/13/2023 19:45,4/11/2023 17:21,4/11/2023 17:21,,,,,,,2,TRUE
332,Blaisdell - 10,4/13/2023 20:06,4/11/2023 17:03,4/11/2023 17:03,,,,,,,3,TRUE
246,Blaisdell - 12,4/13/2023 19:15,4/11/2023 21:21,4/11/2023 21:21,,,,,,,2,TRUE
164,Blaisdell - 14,4/13/2023 20:24,4/12/2023 19:09,4/12/2023 19:09,,,,,,,2,TRUE
285,Blaisdell - 16,4/13/2023 17:57,4/13/2023 17:42,4/13/2023 17:42,,,,,,,2,TRUE
147,Blaisdell - 17,4/13/2023 20:00,4/11/2023 17:03,4/11/2023 17:03,,,,,,,2,TRUE
147,Blaisdell - 19,4/12/2023 17:15,4/11/2023 20:15,4/11/2023 20:15,,,,,,,1,TRUE
162,Blaisdell - 23,4/13/2023 17:00,4/13/2023 18:42,4/13/2023 17:00,,,,,,,1,TRUE
147,Blaisdell - 25,4/13/2023 17:36,4/11/2023 17:36,4/11/2023 17:36,,4/9/2024 17:03,4/9/2024 17:03,,,,2,TRUE
175,Blaisdell - 111,,,,No Selection Time Issued,No Selection Time Issued,,,,,2,TRUE
188,Blaisdell - 120,,,,4/11/2024 18:57,No Selection Time Issued,4/11/2024 18:57,,,,2,TRUE
179,Blaisdell - 212,,,,4/11/2024 19:33,4/10/2024 17:15,4/10/2024 17:15,,,,2,TRUE
175,Blaisdell - 233,,,,No Selection Time Issued,No Selection Time Issued,,,,,2,TRUE
203,Blaisdell - 242,,,,4/11/2024 18:54,No Selection Time Issued,4/11/2024 18:54,,,,2,TRUE
173,Blaisdell - 243,,,,4/11/2024 19:30,No Selection Time Issued,4/11/2024 19:30,,,,2,TRUE
175,Blaisdell - BLSD 341-343 - 341,4/13/2023 17:03,No Selection Time Issued,4/13/2023 17:03,4/11/2024 17:03,No Selection Time Issued,4/11/2024 17:03,4/10/2025 17:09,4/10/2025 17:09,4/10/2025 17:09,1,TRUE
179,Blaisdell - BLSD 341-343 - 342,4/13/2023 19:33,4/13/2023 17:03,4/13/2023 17:03,4/11/2024 19:12,No Selection Time Issued,4/11/2024 19:12,4/10/2025 19:45,4/10/2025 17:09,4/10/2025 17:09,1,TRUE
174,Blaisdell - BLSD 341-343 - 343,4/13/2023 18:33,4/11/2023 17:48,4/11/2023 17:48,4/11/2024 17:33,4/10/2024 18:15,4/10/2024 18:15,4/10/2025 19:39,4/10/2025 17:09,4/10/2025 17:09,2,TRUE
293,Clark I - 221,4/12/2023 20:18,4/11/2023 17:45,4/11/2023 17:45,4/10/2024 20:27,4/9/2024 17:21,4/9/2024 17:21,,,,3,FALSE
313,Clark I - 222,4/13/2023 20:24,4/11/2023 18:33,4/11/2023 18:33,4/10/2024 20:24,No Selection Time Issued,4/10/2024 20:24,,,,3,FALSE
204,Clark I - CL-I 100 - 100A,4/12/2023 19:39,4/11/2023 17:21,4/11/2023 17:21,4/10/2024 17:21,No Selection Time Issued,4/10/2024 17:21,4/9/2025 20:18,4/9/2025 17:27,4/9/2025 17:27,2,FALSE
135,Clark I - CL-I 100 - 100B,4/12/2023 18:24,4/11/2023 21:30,4/11/2023 21:30,4/11/2024 19:12,4/9/2024 17:12,4/9/2024 17:12,4/9/2025 20:18,4/9/2025 17:27,4/9/2025 17:27,1,FALSE
186,Clark I - CL-I 101 - 101A,4/11/2023 21:00,4/11/2023 17:36,4/11/2023 17:36,4/9/2024 20:30,4/9/2024 17:00,4/9/2024 17:00,4/9/2025 17:21,4/9/2025 17:21,4/9/2025 17:21,1,FALSE
135,Clark I - CL-I 101 - 101B,4/12/2023 20:15,4/13/2023 17:48,4/12/2023 20:15,4/9/2024 20:06,4/9/2024 17:42,4/9/2024 17:42,4/9/2025 19:48,4/9/2025 17:21,4/9/2025 17:21,1,FALSE
